         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100  485.106    4.851  485.107    4.851 {method 'build' of 'sklearn.tree._tree.DepthFirstTreeBuilder' objects}
      200   64.944    0.325   64.944    0.325 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
      200    3.037    0.015    3.043    0.015 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
  970/969    2.218    0.002    2.628    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
      445    0.381    0.001    0.381    0.001 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.261    0.003  491.233    4.912 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:152(_parallel_build_trees)
      300    0.249    0.001  556.532    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:115(__call__)
        2    0.232    0.116    0.232    0.116 {pandas._libs.algos.take_2d_axis0_float64_float64}
       32    0.187    0.006    0.187    0.006 {method 'take' of 'numpy.ndarray' objects}
  198/187    0.083    0.000    0.084    0.000 {built-in method numpy.asarray}
      100    0.073    0.001  485.654    4.857 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:1313(fit)
        1    0.071    0.071    0.071    0.071 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
      200    0.070    0.000   65.035    0.325 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:657(_accumulate_prediction)
        2    0.067    0.034    0.067    0.034 {pandas._libs.algos.take_2d_axis1_float64_float64}
      239    0.065    0.000    0.099    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:310(_num_samples)
      302    0.044    0.000    0.104    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1161(check_random_state)
      200    0.037    0.000    0.037    0.000 {function SeedSequence.generate_state at 0x000001C37BED8CA0}
      100    0.022    0.000  485.581    4.856 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:155(fit)
        3    0.019    0.006  556.669  185.556 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:960(__call__)
      500    0.018    0.000    0.058    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2150(_signature_from_function)
        1    0.018    0.018  557.812  557.812 d:\¢ããåëïò\mc-class\Courses\Independent Scholarship\Python scripts\profiling.py:42(best_model)
     6000    0.015    0.000    0.026    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2515(__init__)
        2    0.015    0.007   65.352   32.676 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:970(predict)
9253/9238    0.013    0.000    0.044    0.000 {built-in method builtins.hasattr}
15415/15412    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
      115    0.013    0.000    0.242    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:93(_assert_all_finite)
      303    0.013    0.000  556.624    1.837 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:798(dispatch_one_batch)
        1    0.011    0.011    0.095    0.095 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:784(r2_score)
      115    0.010    0.000    0.368    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:619(check_array)
        1    0.009    0.009   33.248   33.248 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:677(score)
        3    0.009    0.003    0.009    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexers\utils.py:249(maybe_convert_indices)
      422    0.008    0.000    0.008    0.000 {method 'insert' of 'list' objects}
        2    0.008    0.004    0.025    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:484(transform)
    14450    0.008    0.000    0.020    0.000 {built-in method builtins.isinstance}
      127    0.007    0.000    0.007    0.000 {built-in method numpy.array}
     1850    0.007    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
        2    0.007    0.003    0.012    0.006 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:382(mean_squared_error)
