         216826 function calls (215513 primitive calls) in 714.843 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101  660.260    6.537  660.260    6.537 {method 'build' of 'sklearn.tree._tree.DepthFirstTreeBuilder' objects}
      202   46.297    0.229   46.298    0.229 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
      200    2.912    0.015    2.918    0.015 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
1125/1119    2.178    0.002    2.844    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
      529    0.600    0.001    0.600    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.295    0.295    0.310    0.310 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\linalg\_basic.py:1036(lstsq)
      100    0.258    0.003  655.678    6.557 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:152(_parallel_build_trees)
      300    0.237    0.001  702.000    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:115(__call__)
        2    0.217    0.108    0.217    0.108 {pandas._libs.algos.take_2d_axis1_float64_float64}
  258/232    0.124    0.000    0.125    0.001 {built-in method numpy.asarray}
       30    0.085    0.003    0.085    0.003 {method 'take' of 'numpy.ndarray' objects}
      101    0.075    0.001  660.786    6.542 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:1313(fit)
      200    0.066    0.000   46.070    0.230 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:657(_accumulate_prediction)
      140    0.065    0.000    0.065    0.000 {built-in method numpy.array}
        8    0.058    0.007    0.171    0.021 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:119(safe_sparse_dot)
        1    0.051    0.051    0.051    0.051 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
        1    0.048    0.048  714.843  714.843 d:\¢ããåëïò\mc-class\Courses\Independent Scholarship\Python scripts\profiling.py:18(models)
        1    0.042    0.042    0.042    0.042 {pandas._libs.algos.take_2d_axis0_float64_float64}
       36    0.041    0.001    0.100    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\function_base.py:395(average)
      303    0.038    0.000    0.093    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1161(check_random_state)
        2    0.036    0.018    0.087    0.044 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:484(transform)
      200    0.035    0.000    0.035    0.000 {function SeedSequence.generate_state at 0x000001C37BED8CA0}
       12    0.034    0.003    0.034    0.003 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.034    0.034    0.034    0.034 {built-in method scipy.sparse._sparsetools.csr_matvecs}
        2    0.031    0.015    0.179    0.090 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\linear_model\_base.py:214(_preprocess_data)
        4    0.031    0.008    0.140    0.035 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:784(r2_score)
15580/15577    0.021    0.000    0.022    0.000 {built-in method builtins.getattr}
      101    0.018    0.000  660.712    6.542 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:155(fit)
        8    0.018    0.002    0.037    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:382(mean_squared_error)
      300    0.016    0.000    0.016    0.000 {method 'popleft' of 'collections.deque' objects}
      500    0.015    0.000    0.046    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2150(_signature_from_function)
      313    0.015    0.000    0.017    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1340(<listcomp>)
        1    0.014    0.014    0.023    0.023 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_dia.py:392(tocoo)
      300    0.012    0.000    0.013    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:350(__call__)
        1    0.012    0.012    0.012    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\linalg\_basic.py:40(solve)
     6000    0.011    0.000    0.019    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2515(__init__)
        4    0.011    0.003    0.012    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\function_base.py:537(asarray_chkfinite)
      200    0.011    0.000    0.041    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:218(set_params)
10069/10054    0.010    0.000    0.047    0.000 {built-in method builtins.hasattr}
      458    0.010    0.000    0.010    0.000 {method 'insert' of 'list' objects}
      303    0.010    0.000  702.108    2.317 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:798(dispatch_one_batch)
        4    0.009    0.002    0.019    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:141(mean_absolute_error)
        1    0.009    0.009    0.009    0.009 {built-in method scipy.sparse._sparsetools.coo_tocsr}
        1    0.008    0.008    0.566    0.566 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\linear_model\_base.py:652(fit)
       34    0.008    0.000    0.038    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:162(_mean)
        1    0.008    0.008    0.157    0.157 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\linear_model\_ridge.py:1101(fit)
       14    0.007    0.001    0.008    0.001 {pandas._libs.lib.maybe_convert_objects}
      202    0.007    0.000   46.341    0.229 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:481(predict)
  135/129    0.007    0.000    0.022    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5569(__getattr__)
      153    0.007    0.000    0.384    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:93(_assert_all_finite)
        1    0.007    0.007    0.075    0.075 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_compressed.py:493(_mul_multivector)
        4    0.007    0.002   16.576    4.144 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:677(score)
    15355    0.007    0.000    0.017    0.000 {built-in method builtins.isinstance}
      153    0.006    0.000    0.604    0.004 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:619(check_array)
      163    0.006    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1848(internal_values)
        2    0.006    0.003    0.006    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexers\utils.py:249(maybe_convert_indices)
       16    0.006    0.000    0.006    0.000 {built-in method builtins.round}
      335    0.005    0.000    0.041    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:310(_num_samples)
     1959    0.005    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
      181    0.005    0.000    0.005    0.000 {built-in method numpy.empty}
        2    0.005    0.002   46.299   23.150 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:970(predict)
        3    0.005    0.002    0.010    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:920(retrieve)
       34    0.005    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
      500    0.004    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:177(<listcomp>)
      412    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
      300    0.004    0.000    0.012    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:213(get_nested_backend)
      215    0.004    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:257(_num_features)
      500    0.004    0.000    0.072    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:194(get_params)
        4    0.004    0.001    0.064    0.016 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\frame.py:587(__init__)
      459    0.004    0.000    0.524    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     6000    0.004    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\enum.py:358(__call__)
      500    0.004    0.000    0.066    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:163(_get_param_names)
      500    0.004    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2798(__init__)
       52    0.004    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\accessor.py:178(__get__)
      603    0.004    0.000    0.024    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:154(get)
      600    0.004    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\functools.py:35(update_wrapper)
        1    0.003    0.003    0.005    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:2008(_form_blocks)
       24    0.003    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:2432(is_object)
 1200/100    0.003    0.000    0.035    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:32(clone)
      9/5    0.003    0.000    0.016    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:397(__new__)
      300    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
       39    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:320(_unique1d)
        3    0.003    0.001  702.132  234.044 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:960(__call__)
        4    0.003    0.001    0.004    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:615(_assemble_r2_explained_variance)
        4    0.003    0.001    0.029    0.007 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\linear_model\_base.py:366(_decision_function)
       14    0.003    0.000    0.003    0.000 {pandas._libs.algos.ensure_platform_int}
       16    0.003    0.000    0.102    0.006 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:66(_check_reg_targets)
       12    0.003    0.000    0.027    0.002 {method 'sum' of 'numpy.ndarray' objects}
     1353    0.003    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:20(_get_threadlocal_config)
      500    0.003    0.000    0.051    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2244(_signature_from_callable)
    36/35    0.003    0.000    0.044    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:323(__init__)
      300    0.003    0.000  702.038    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:761(_dispatch)
     6500    0.003    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2847(<genexpr>)
      313    0.003    0.000    0.023    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1276(check_is_fitted)
      600    0.003    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:133(config_context)
      163    0.003    0.000    0.009    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:687(_values)
        1    0.003    0.003    0.003    0.003 {built-in method scipy.sparse._sparsetools.dia_matvec}
      305    0.003    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:76(get_active_backend)
       38    0.003    0.000    0.048    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:373(check_consistent_length)
    17500    0.003    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2565(name)
    14247    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        2    0.002    0.001    0.005    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:501(effective_n_jobs)
      300    0.002    0.000  702.008    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:258(__call__)
       39    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
5387/5247    0.002    0.000    0.003    0.000 {built-in method builtins.len}
      303    0.002    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
       35    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1240(is_float_dtype)
        1    0.002    0.002    0.116    0.116 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\linear_model\_base.py:326(_rescale_data)
      414    0.002    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
     6014    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      106    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
      300    0.002    0.000    0.009    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:97(delayed)
1353/1349    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      301    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
        2    0.002    0.001    0.010    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:206(_partition_estimators)
      305    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:280(__init__)
      254    0.002    0.000    0.519    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2160(sum)
        1    0.002    0.002    0.056    0.056 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:425(dict_to_mgr)
      300    0.002    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:122(put)
       65    0.002    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:161(is_object_dtype)
     1100    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
      600    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
        2    0.002    0.001    0.002    0.001 {built-in method pandas._libs.lib.is_datetime_array}
       39    0.002    0.000    0.010    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:138(unique)
        4    0.002    0.000    0.002    0.000 {pandas._libs.algos.ensure_object}
      203    0.002    0.000    0.002    0.000 {built-in method nt.urandom}
      300    0.002    0.000  702.002    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:262(<listcomp>)
     6000    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\enum.py:670(__new__)
      200    0.002    0.000    0.043    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:76(inner)
      607    0.002    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1375(check_scalar)
      414    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
      103    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1837(dtype)
      213    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:647(__init__)
        1    0.002    0.002    0.034    0.034 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_base.py:973(tocsr)
      202    0.002    0.000    0.011    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:1004(<genexpr>)
       15    0.002    0.000    0.315    0.021 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:495(_validate_data)
      500    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:192(<listcomp>)
       34    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2025(new_block)
     4100    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
      300    0.002    0.000  702.024    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:206(apply_async)
